"","name","id","time","coef","sd","tci","min_year","max_year"
"1","fesisCHN.2015","CHN",2015,0.239216312145762,0.0593169520823821,3,2012,2018
"2","fesisDNK.2005","DNK",2005,0.406408265230035,0.104186127706201,1,2004,2006
"3","fesisDNK.2007","DNK",2007,0.305298254786049,0.0976448555402652,2,2005,2009
"4","fesisNOR.2015","NOR",2015,0.210478920816315,0.0591744197145305,4,2011,2019
