"","name","id","time","coef","sd","tci","min_year","max_year"
"1","fesisAUT.2007","AUT",2007,0.668525136415685,0.137505042142916,3,2004,2010
"2","fesisDNK.2014","DNK",2014,1.26673901793217,0.223675547931371,1,2013,2015
"3","fesisESP.2005","ESP",2005,0.935128140257925,0.160553413210891,1,2004,2006
"4","fesisFIN.2005","FIN",2005,1.19165998100694,0.207463343258669,1,2004,2006
"5","fesisNOR.2003","NOR",2003,0.852121808595107,0.211451654185296,2,2001,2005
"6","fesisNOR.2017","NOR",2017,0.775030520226974,0.178751123917804,2,2015,2019
